genus	Origin	L8	L15	L30M	H8	H15	H30	factor
Sulfurovum	0.02682435	0.019903085	0.024472124	0.022411411	0.018560384	0.024162102	0.020857415	A
Desulfosarcina	0.035415704	0.050254107	0.069945744	0.040763398	0.036834687	0.025118219	0.013512327	B
uncultured_Desulfosarcinaceae	0.166743688	0.047275736	0.034020054	0.025766076	0.021239778	0.016996988	0.012641744	C
Desulfuromonas	0.065958073	0.036520506	0.054750021	0.045330251	0.042186497	0.026575432	0.015290072	D
Izimaplasma	0.001071294	0.002505614	0.010678476	0.007667804	0.012259622	0.023701323	0.015114493	E
Proteiniclasticum	0.026719321	0.024228815	0.025810019	0.022383221	0.01484133	0.021287993	0.016321604	F
Dethiosulfatibacter	0.062534134	0.055123508	0.062737896	0.065909283	0.042605152	0.046388932	0.033038262	G
Fusibacter	0.063731462	0.149816807	0.136460354	0.130268091	0.19211393	0.130411994	0.1354598	H
Anaerovirgula	0.000126035	8.27325E-05	0.000464067	0.000394666	0.000279104	0.000397422	0.026585705	I
JTB215	0.300592362	0.302541071	0.246735487	0.298579201	0.275119317	0.192213986	0.133177262	J
uncultured_Desulfitobacteriales	0.039847918	0.04234724	0.04799143	0.050728723	0.041921349	0.043071323	0.040851562	K
SG8-4	0.000567155	0.000803688	0.003761904	0.004623235	0.017730051	0.012740541	0.024851855	L
uncultured_Rhizobiaceae	0.016741587	0.018945751	0.022872574	0.022129507	0.016397332	0.020665941	0.0144707	M
Marinobacter	0.013716758	0.016345586	0.02789832	0.032743213	0.02117698	0.048658269	0.041751408	N
Cupriavidus	4.20115E-05	5.90947E-05	4.93688E-06	0	0.000251193	0.000109435	0.041407565	O
Thiobacillus	0.02058564	0.023082378	0.033876884	0.031756547	0.048794273	0.026984374	0.024595801	P
Methylophaga	0.00168046	0.001831935	0.002838707	0.002086094	0.002086299	0.01673204	0.016182603	Q
Halomonas	0.032916019	0.069046212	0.028209344	0.042976348	0.057620922	0.091908144	0.102077694	R
Kangiella	8.4023E-05	0.000130008	0.000103675	0.000535619	0.001025705	0.027589146	0.015611969	S
Pseudomonas	0.027412511	0.04323366	0.040151661	0.046880726	0.046896369	0.048381802	0.049784183	T
uncultured_Pseudomonadaceae	0.039301769	0.034889493	0.03578252	0.038395399	0.029319825	0.062349167	0.035130587	U
Others	0.057387724	0.061032975	0.090433804	0.067671187	0.060739903	0.093555429	0.17128539	V
