module	Origin	8MPa	15MPa	30MPa	8MPaII	15MPaII	30MPaII
M00001	3841.026668513	4014.7709900019995	3812.576002496999	3920.470380607	3940.5215136209995	3693.960744033001	3606.403682769001
M00002	1973.9933017569995	2131.6107987469995	2073.1995619439995	2167.2652353080002	2178.6199994309995	2170.5720670690002	2080.053366658
M00003	2852.575088786	2941.5569503909996	2794.8200976609987	2879.2160884570008	2876.456816021999	2686.779219053001	2638.8657833419998
M00004	1554.9148910719994	1834.9191339080005	1702.0901147260004	1855.2001816820002	1871.9475286509999	1967.474658936	1949.3459896339998
M00005	263.132298255	321.74826938100006	294.63580124099997	308.95387383399986	308.86939956700013	342.9084622850002	297.9907889269998
M00006	157.170272976	327.89887558100014	310.82674587200006	396.730570554	407.55039467299997	587.1428145720001	547.3279876019999
M00007	1048.0163587199997	1191.2951066480005	1096.952671191	1156.559428446	1166.8081997799998	1106.7851285680001	1126.4552295189999
M00008	213.957283614	464.4632122510001	398.26668209999997	528.289937604	516.6784750539999	874.3134144460003	756.1784920510001
M00009	4854.89218498	5127.863159261001	4845.922742272	4823.694630378999	4765.736682627	4612.468822567999	4509.367348434
M00010	992.5824156490003	1072.3231980170003	985.746395318	985.9403744130001	957.6549631030001	1041.2425617619992	989.5768753059998
M00011	3862.309769331	4055.539961244001	3860.176346953999	3837.7542559660005	3808.081719524	3571.2262608060005	3519.790473128
M00012	897.5943470770001	955.4046528840003	849.218961478	905.5287267170002	885.344685229	1099.6745286089995	1044.54118553
M00013	956.7912650309997	775.0636182569997	634.8480617289999	619.768494155	597.976520341	740.394182944	641.042596262
M00014	1564.421223973	1198.7533911060004	948.9353100690003	948.4730725180004	911.1881604059997	843.0734096589999	820.477062895
M00015	793.9571048369999	808.9127201369997	729.5614342800002	774.1085474149996	746.707074703	807.2009499520001	724.163284132
M00016	2602.6855986890005	2993.2981941000003	2775.049901662999	2873.829408338	2812.2323483269997	2901.877088056	2779.066167992
M00017	2558.2387050469997	2445.0865507310004	2265.7998979629997	2275.1410523650006	2248.683617269	2276.693366691999	2214.751646075
M00018	1596.3403788130001	1722.6578577590003	1638.6477155359996	1662.381910956	1659.2944790249996	1574.6882670129996	1574.090916871
M00019	1655.7180856880007	1872.4390323770003	1695.3116813129998	1802.7915729540007	1774.7931448539996	1796.7132257310004	1771.725582796999
M00020	938.9716694260002	947.6974288440002	901.7818643880005	944.1367338730004	938.9488940420003	903.6821598580003	898.8519647900005
M00021	744.1398153550001	790.0179435500002	718.751586481	722.448125318	721.7229827560003	645.7890961020001	634.2863279639998
M00022	2553.2881605410003	2570.144949257	2390.56002182	2376.1448038589992	2350.743763885	2107.8251023029998	2005.6408021970005
M00023	2128.365485334	2240.113407268	2030.1499247880001	2097.508766059	2031.873988845	2079.770644423	1856.6246241349997
M00024	449.83572975299995	427.6911185800001	427.44961669899993	442.07762150400004	449.33717185299986	429.50950394099993	493.32092532
M00025	515.078202387	483.8382200710001	501.2216008230001	519.9617169339999	539.913994468	474.06816211699993	551.8901257389999
M00026	3148.998939592	3183.2621406410003	3116.6676264300004	3257.579651113001	3161.581199855	3085.753114969	2984.6923443049996
M00027	266.11091084200007	352.47518213500007	278.506821146	314.10377903899985	309.84345872200004	536.6222800260001	505.211757901
M00028	1602.6722102920003	1636.119704043	1502.2731289519998	1602.3434648860004	1559.5800551000002	1643.1378313339997	1585.865010741
M00029	1030.01477285	1043.6503508640003	1001.3728504829999	1024.0079053070003	999.6347326409998	924.2733112290002	938.8615729979999
M00030	30.986835045000014	71.02900713099999	69.276011408	72.57275574200001	77.17859147199998	118.04668154000001	113.41646909899997
M00031	1.5324499440000001	0.676328327	1.817983555	0.378142774	0.394735388	0.078192863	0.064828838
M00033	839.6651259639999	972.0208031060001	888.7864903779997	912.1602815100001	890.7236164949999	951.8691124279999	826.0908879510002
M00034	1424.0674737639997	1446.3693987629993	1399.8946580249997	1451.5444934910001	1445.163939084	1477.4377132559998	1418.0081847970005
M00035	598.7430157120002	614.7419682399998	689.9339138300002	660.6814962530002	671.3453337259998	629.4627262459998	648.0993555660001
M00036	3023.325315168001	2561.412826832	1994.9344087059985	2139.473776476	2082.9696960109995	2904.061727071	2616.78602
M00037	16.115723138	47.20401281099999	41.729681854	32.447514648	34.400284535000004	26.202020784999995	19.890630333999997
M00038	341.3378532410002	338.6797423160001	360.9582442159999	374.2942536869999	369.1233484499999	427.1008251419999	451.343295445
M00039	46.755505999	57.912259586	72.63438192	74.40254258499998	85.07799262000002	64.02191422099999	84.86009432000002
M00040	261.016597195	306.63877574800006	289.23653237400003	313.58046596300005	315.8399794139999	379.711234354	370.72177605099995
M00042	16.092319378000003	47.48581128099999	42.020123635	32.837811689000006	34.441864904000006	27.953356297999996	23.815322623
M00044	95.33712175999997	178.95626092999998	165.11500878100003	237.394203943	229.46013561100006	537.054973458	527.5898389049999
M00045	502.3613152610001	914.7209818150002	956.7833936839999	879.6279422069999	889.0708702730002	808.3092728270001	895.1353928860001
M00046	229.89111685899996	276.361488388	205.569977251	255.372688903	257.56659908500006	314.739454623	333.72683679599993
M00047	93.748183644	22.918631100999995	15.477885029000001	11.501857277000001	8.323717159	4.292613341	4.252107458999999
M00048	2865.9861925250007	2901.1038263910004	2773.3064158130005	2855.042400184	2773.9689879219995	2845.0374745759996	2694.2583223330003
M00049	1359.5604228889997	1395.4159295470001	1378.0177237820003	1413.2697348109998	1429.4441252919996	1440.2566476569996	1424.2636370359996
M00050	1675.4029933360002	1656.3776412760005	1550.523723933	1566.956948673	1549.9811268789997	1574.9537421440002	1509.5509520569994
