mag	Origin	L8	L15	L30	H8	H15	H30
LMO_105	0.0000000 	0.0000000 	0.0051968 	0.0000000 	0.0000000 	0.0000000 	0.0000000 
LMO_86	0.0000000 	0.0000000 	0.0000031 	0.0000135 	0.0001180 	0.0035996 	0.0060792 
LMO_31	0.0000000 	0.0000000 	0.0000000 	0.0000000 	0.0000001 	0.0008588 	0.0127667 
LMO_46	0.0000000 	0.0000000 	0.0000000 	0.0000000 	0.0000020 	0.0028361 	0.0054531 
LMO_26	0.0000000 	0.0000007 	0.0000391 	0.0000429 	0.0000526 	0.0000062 	0.0149363 
LMO_28	0.0000000 	0.0000049 	0.0073997 	0.0000162 	0.0000463 	0.0000352 	0.0001094 
LMO_49	0.0000001 	0.0000002 	0.0000001 	0.0000001 	0.0000003 	0.0000008 	0.0058352 
LMO_72	0.0000001 	0.0000188 	0.0000147 	0.0000427 	0.0000404 	0.0113079 	0.0044250 
LMO_43	0.0000004 	0.0000025 	0.0000019 	0.0000050 	0.0000036 	0.0000053 	0.0110451 
LMO_42	0.0000009 	0.0000521 	0.0000002 	0.0000000 	0.0000007 	0.0000106 	0.0107757 
LMO_74	0.0002609 	0.0009325 	0.0009924 	0.0011249 	0.0011557 	0.0073090 	0.0044888 
LMO_40	0.0011019 	0.0065043 	0.0042854 	0.0034024 	0.0035206 	0.0030959 	0.0019212 
LMO_62	0.0000000 	0.0000001 	0.0001015 	0.0010179 	0.0079659 	0.0009704 	0.0062369 
LMO_1	0.0000002 	0.0000017 	0.0000002 	0.0000003 	0.0000399 	0.0065771 	0.0207671 
LMO_36	0.0000006 	0.0000090 	0.0000078 	0.0002945 	0.0013995 	0.0249307 	0.0126813 
LMO_81	0.0000008 	0.0026084 	0.0002347 	0.0005340 	0.0008667 	0.0115467 	0.0052494 
LMO_104	0.0000008 	0.0000377 	0.0000055 	0.0000086 	0.0001385 	0.0778979 	0.1046495 
LMO_7	0.0007294 	0.0008490 	0.0009491 	0.0026009 	0.0033666 	0.0086807 	0.0056888 
LMO_47	0.0009700 	0.0014913 	0.0019045 	0.0017282 	0.0020330 	0.0090736 	0.0078788 
LMO_10	0.0010522 	0.0005728 	0.0036919 	0.0055591 	0.0056883 	0.0008713 	0.0023992 
LMO_20	0.0050683 	0.0058779 	0.0046838 	0.0050694 	0.0044715 	0.0032599 	0.0025054 
LMO_80	0.0000001 	0.0004408 	0.0012896 	0.0093519 	0.0314810 	0.0241396 	0.0147307 
LMO_59	0.0000001 	0.0004136 	0.0077230 	0.0069002 	0.0136503 	0.0035674 	0.0117346 
LMO_97	0.0000057 	0.0001066 	0.0006265 	0.0160187 	0.0140663 	0.0400184 	0.0335199 
LMO_22	0.0000138 	0.0040929 	0.0412341 	0.0351236 	0.0425134 	0.0043101 	0.0280190 
LMO_68	0.0065708 	0.0018270 	0.0174000 	0.0173195 	0.0192276 	0.0026666 	0.0144647 
LMO_6	0.0079243 	0.0028460 	0.0229623 	0.0210243 	0.0202371 	0.0022224 	0.0079896 
LMO_87	0.0096009 	0.0109643 	0.0105614 	0.0093759 	0.0102950 	0.0044696 	0.0046049 
LMO_30	0.0027095 	0.0048670 	0.0086753 	0.0124886 	0.0117137 	0.0165030 	0.0099221 
LMO_96	0.4395946 	0.1123589 	0.0604617 	0.0440448 	0.0303266 	0.0077497 	0.0049682 
LMO_88	0.0000479 	0.0099352 	0.0073808 	0.0085894 	0.0088491 	0.0275380 	0.0147071 
LMO_58	0.0004150 	0.0335036 	0.0117091 	0.0102032 	0.0125898 	0.0187973 	0.0095929 
LMO_52	0.0011968 	0.0077851 	0.0128001 	0.0224876 	0.0382409 	0.0711227 	0.0602695 
LMO_76	0.0078684 	0.0132156 	0.0103865 	0.0114304 	0.0107431 	0.0081673 	0.0055240 
LMO_94	0.0097796 	0.0384936 	0.0287845 	0.0400018 	0.0382533 	0.0541140 	0.0316579 
LMO_79	0.0110736 	0.0213095 	0.0160599 	0.0209001 	0.0190645 	0.0157686 	0.0106096 
LMO_93	0.0135143 	0.0209101 	0.0178842 	0.0254683 	0.0207984 	0.0186137 	0.0114885 
LMO_17	0.0179667 	0.0180545 	0.0289144 	0.0229343 	0.0228041 	0.0123815 	0.0152177 
LMO_39	0.0247630 	0.0431309 	0.0473123 	0.0581098 	0.0527611 	0.0436954 	0.0263280 
LMO_64	0.0297051 	0.0449901 	0.0380783 	0.0453332 	0.0416039 	0.0833013 	0.0354558 
LMO_33	0.0512728 	0.1637171 	0.1454776 	0.0959323 	0.0897820 	0.0560176 	0.0284394 
LMO_65	0.0633988 	0.0386184 	0.0498913 	0.0487625 	0.0445207 	0.0176900 	0.0136452 
LMO_67	0.1308536 	0.1622605 	0.1271989 	0.1256038 	0.1174647 	0.0700040 	0.0516937 
