module	L15	L30	H15	H30
Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate 	3812.576002	3920.470381	3693.960744	3606.403683
Glycolysis, core module involving three-carbon compounds 	2073.199562	2167.265235	2170.572067	2080.053367
Gluconeogenesis, oxaloacetate => fructose-6P 	2794.820098	2879.216088	2686.779219	2638.865783
Pentose phosphate pathway (Pentose phosphate cycle) 	1702.090115	1855.200182	1967.474659	1949.34599
PRPP biosynthesis, ribose 5P => PRPP 	294.6358012	308.9538738	342.9084623	297.9907889
Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P 	310.8267459	396.7305706	587.1428146	547.3279876
Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P 	1096.952671	1156.559428	1106.785129	1126.45523
Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate 	398.2666821	528.2899376	874.3134144	756.1784921
Citrate cycle (TCA cycle, Krebs cycle) 	4845.922742	4823.69463	4612.468823	4509.367348
Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate 	985.7463953	985.9403744	1041.242562	989.5768753
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate 	3860.176347	3837.754256	3571.226261	3519.790473
Glyoxylate cycle 	849.2189615	905.5287267	1099.674529	1044.541186
Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA 	634.8480617	619.7684942	740.3941829	641.0425963
Glucuronate pathway (uronate pathway) 	948.9353101	948.4730725	843.0734097	820.4770629
Proline biosynthesis, glutamate => proline 	729.5614343	774.1085474	807.20095	724.1632841
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine 	2775.049902	2873.829408	2901.877088	2779.066168
Methionine biosynthesis, apartate => homoserine => methionine 	2265.799898	2275.141052	2276.693367	2214.751646
Threonine biosynthesis, aspartate => homoserine => threonine 	1638.647716	1662.381911	1574.688267	1574.090917
Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine 	1695.311681	1802.791573	1796.713226	1771.725583
Serine biosynthesis, glycerate-3P => serine 	901.7818644	944.1367339	903.6821599	898.8519648
Cysteine biosynthesis, serine => cysteine 	718.7515865	722.4481253	645.7890961	634.286328
Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate 	2390.560022	2376.144804	2107.825102	2005.640802
Tryptophan biosynthesis, chorismate => tryptophan 	2030.149925	2097.508766	2079.770644	1856.624624
Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine 	427.4496167	442.0776215	429.5095039	493.3209253
Tyrosine biosynthesis, chorismate => HPP => tyrosine 	501.2216008	519.9617169	474.0681621	551.8901257
Histidine biosynthesis, PRPP => histidine 	3116.667626	3257.579651	3085.753115	2984.692344
GABA (gamma-Aminobutyrate) shunt 	278.5068211	314.103779	536.62228	505.2117579
Ornithine biosynthesis, glutamate => ornithine 	1502.273129	1602.343465	1643.137831	1585.865011
Urea cycle 	1001.37285	1024.007905	924.2733112	938.861573
Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine 	69.27601141	72.57275574	118.0466815	113.4164691
