OTU,A15MPa,A15MPaII,A30MPa,A30MPaII,A8MPa,A8MPaII,AOrigin,Kingdom,Phylum,Class,Order,Family,Genus,Species
Unassigned;__;__;__;__;__;__,233,42,8,28,44,42,54,Unassigned,__,__,__,__,__,__
d__Archaea;__;__;__;__;__;__,218,103,5,29,6,140,7,d__Archaea,__,__,__,__,__,__
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;s__uncultured_Candidatus,3,0,0,0,0,0,0,d__Archaea,p__Aenigmarchaeota,c__Aenigmarchaeia,o__Aenigmarchaeales,f__Aenigmarchaeales,g__Aenigmarchaeales,s__uncultured_Candidatus
d__Archaea;p__Aenigmarchaeota;c__Aenigmarchaeia;o__Aenigmarchaeales;f__Aenigmarchaeales;g__Aenigmarchaeales;s__uncultured_archaeon,370,97,15,26,15,81,32,d__Archaea,p__Aenigmarchaeota,c__Aenigmarchaeia,o__Aenigmarchaeales,f__Aenigmarchaeales,g__Aenigmarchaeales,s__uncultured_archaeon
d__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG);s__uncultured_archaeon,27,1,1,1,1,3,1,d__Archaea,p__Aenigmarchaeota,c__Deep_Sea_Euryarchaeotic_Group(DSEG),o__Deep_Sea_Euryarchaeotic_Group(DSEG),f__Deep_Sea_Euryarchaeotic_Group(DSEG),g__Deep_Sea_Euryarchaeotic_Group(DSEG),s__uncultured_archaeon
d__Archaea;p__Aenigmarchaeota;c__Deep_Sea_Euryarchaeotic_Group(DSEG);o__Deep_Sea_Euryarchaeotic_Group(DSEG);f__Deep_Sea_Euryarchaeotic_Group(DSEG);g__Deep_Sea_Euryarchaeotic_Group(DSEG);s__uncultured_crenarchaeote,6,9,1,0,1,0,0,d__Archaea,p__Aenigmarchaeota,c__Deep_Sea_Euryarchaeotic_Group(DSEG),o__Deep_Sea_Euryarchaeotic_Group(DSEG),f__Deep_Sea_Euryarchaeotic_Group(DSEG),g__Deep_Sea_Euryarchaeotic_Group(DSEG),s__uncultured_crenarchaeote
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus_Altiarchaeum;__,1,0,0,0,0,0,0,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,o__Altiarchaeales,f__Altiarchaeaceae,g__Candidatus_Altiarchaeum,__
d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__Altiarchaeales;f__Altiarchaeaceae;g__Candidatus_Altiarchaeum;s__uncultured_archaeon,43,46,5,0,10,12,25,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,o__Altiarchaeales,f__Altiarchaeaceae,g__Candidatus_Altiarchaeum,s__uncultured_archaeon
d__Archaea;p__Asgardarchaeota;__;__;__;__;__,123,35,26,2,39,69,31,d__Archaea,p__Asgardarchaeota,__,__,__,__,__
d__Archaea;p__Asgardarchaeota;c__Asgardarchaeota;o__Asgardarchaeota;f__Asgardarchaeota;g__Asgardarchaeota;s__uncultured_archaeon,5,0,0,0,0,0,0,d__Archaea,p__Asgardarchaeota,c__Asgardarchaeota,o__Asgardarchaeota,f__Asgardarchaeota,g__Asgardarchaeota,s__uncultured_archaeon
