OTU,B15MPa,B15MPaII,B30MPa,B30MPaII,B8MPa,BOrigin,B8MPaII,Kingdom,Phylum,Class,Order,Family,Genus,Species
Unassigned;__;__;__;__;__;__,32,12,0,41,4,0,19,Unassigned,__,__,__,__,__,__
d__Bacteria;__;__;__;__;__;__,130,56,27,125,32,24,100,d__Bacteria,__,__,__,__,__,__
d__Bacteria;p__10bav-F6;c__10bav-F6;o__10bav-F6;f__10bav-F6;g__10bav-F6;s__uncultured_bacterium,1,0,0,0,0,0,0,d__Bacteria,p__10bav-F6,c__10bav-F6,o__10bav-F6,f__10bav-F6,g__10bav-F6,s__uncultured_bacterium
d__Bacteria;p__10bav-F6;c__10bav-F6;o__10bav-F6;f__10bav-F6;g__10bav-F6;s__uncultured_delta,0,0,0,1,0,0,0,d__Bacteria,p__10bav-F6,c__10bav-F6,o__10bav-F6,f__10bav-F6,g__10bav-F6,s__uncultured_delta
d__Bacteria;p__Acidobacteriota;__;__;__;__;__,1,0,0,3,0,0,1,d__Bacteria,p__Acidobacteriota,__,__,__,__,__
d__Bacteria;p__Acidobacteriota;c__AT-s3-28;o__AT-s3-28;f__AT-s3-28;g__AT-s3-28;s__uncultured_bacterium,0,0,0,1,0,0,0,d__Bacteria,p__Acidobacteriota,c__AT-s3-28,o__AT-s3-28,f__AT-s3-28,g__AT-s3-28,s__uncultured_bacterium
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__;__;__,0,0,0,4,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,__,__,__,__
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Acidobacteriae;s__uncultured_Acidobacterium,0,0,0,1,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriae,f__Acidobacteriae,g__Acidobacteriae,s__uncultured_Acidobacterium
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum;__,0,0,0,0,1,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriae,f__Acidobacteriae,g__Paludibaculum,__
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum;s__Paludibaculum_fermentans,4,3,0,1,1,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriae,f__Acidobacteriae,g__Paludibaculum,s__Paludibaculum_fermentans
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae_(Subgroup_1);g__Edaphobacter;__,0,0,0,0,1,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Edaphobacter,__
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;__,2,0,0,4,0,0,0,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bryobacter,__
