module	Alkanesulfonate_transport	Alkanesulfonate_monooxygenase	NitT/TauT_transport	taurine	M00176	M00596	M00008	M00345	M00174-mdh	M00174-xoxF	pmoABC	mxaproteins	M00356	M00563	M00529	M00357	acdA	M00579
LMO_104	1	1	1	1	1	0	1	0.5	0	0	0	0	0	0	0.5	1	1	0
LMO_52	0.5	0	0.5	0	1	0	1	0.5	0	0	0	0	0	0	0	1	0	0.5
LMO_97	0	0	1	0	1	0	1	0.5	0	0	0	0	0	0	1	1	0	1
LMO_36	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	1	1	0	0.5
LMO_64	0.5	0	1	0	1	0	1	0.5	0	0	0	0	0	0	1	0	0	1
LMO_80	0	0	1	0	0.5	1	0	0.5	0	0	0	0	0	0	0	1	1	1
LMO_1	0	0.5	0	0	1	0	1	0	0	0	0	0	0	0	0.5	1	0	0
LMO_88	0	0	0.5	0	1	0	1	0.5	0	0	0	0	0	0	1	1	0	1
LMO_94	0.5	0	1	1	1	0	1	0.5	0	0	0	0	0	0	1	0	0	1
LMO_81	0.5	0	1	0	1	0	1	0.5	0	1	0	0.5	0	0	0.5	1	0	0
LMO_72	1	1	1	1	1	0	1	0.5	0	0	0	0	0	0	0	1	0	0.5
LMO_26	0	0	1	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5
LMO_31	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0	0	0	1	0	0
LMO_47	0	0	1	0	1	0	1	0.5	1	1	0	1	0	0	0.5	1	0	0.5
LMO_43	1	1	1	1	1	0	0.5	0.5	0	0	0	0	0	0	0	1	0	0.5
LMO_7	0	0	1	0	1	1	1	0.5	0	0	0	0	0	0	0.5	1	0	0
LMO_42	1	1	0	1	1	0	1	0.5	0	0	0	0	0	0	0	1	0	1
LMO_74	0	0	1	1	1	0	1	0.5	1	1	1	1	0	0	1	1	0	0.5
LMO_86	0	0	1	0	0.5	0	0	0.5	0	0	0	0	1	1	0	1	0	0
LMO_46	1	1	1	0	1	0	1	0.5	1	1	0	1	0	0	0.5	1	0	0.5
LMO_58	0	0	1	0	1	0	1	0.5	0	0	0	0	0	0	0.5	1	0	1
LMO_62	0	0	0.5	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5
LMO_49	1	1	1	1	1	0	1	0.5	0	0	0	0	0	0	0	1	0	0.5
LMO_30	0	0	1	0	1	0	0.5	0	0	0	0	0	0	0	1	1	0	0
LMO_59	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5
LMO_40	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0	0	1	0	0
LMO_20	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1
LMO_105	0	0	1	0	0.5	0	0	0.5	0	0	0	0	0	0	0	1	0	0
LMO_10	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.5	1	0	0
LMO_28	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0	1	0
LMO_76	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
LMO_79	0.5	0.5	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0.5
LMO_87	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5
LMO_93	0	0	1	0	1	0	0.5	0	0	0	0	0	0	0	0	1	0	0.5
LMO_68	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
LMO_17	0	0	1	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	1	0	0
LMO_6	0.5	0	1	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0	0.5
LMO_22	0	0	1	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5
LMO_39	0	0	1	0	1	1	0.5	0	0	0	0	0	0	0	0.5	1	0	0.5
LMO_65	0.5	0	1	0	0.5	0	0	0	0	0	0	0	0	0	0	1	0	1
LMO_96	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
LMO_67	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
LMO_33	0	0	1	0	0.5	1	0	0	0	0	0	0	0	0	0	1	1	1
