	M00596	M00176	MyDef1	MyDef2	MyDef3	MyDef4	MyDef5	M00356	M00357	M00563	M00567	M00174	MyDef6	M00595	M00345	M00346	M00008	M00555	MyDef7	MyDef9	MyDef8	MyDef11	MyDef12	MyDef15	MyDef16	MyDef17	MyDef21	MyDef19
MAG	DSR	ASR	Taurine transport	Taurine to sulfite	Alkanesulfonate transport	Alkanesulfonate to sulfite	sulfate transport	Methanogenesis I	Methanogenesis II	Methanogenesis III	Methanogenesis IV	Methane oxidation	nirK / nirS	SOX system	EMP pathway	serine pathway	EDD pathway	Betaine biosynthesis	Betaine transport	Betaine uptake	grdA	grdD / grdC	grdH / grdI	ackA / pta	ACS	acdA / acdB / acdAB	cysteine degradation 	cysteine transporter
Cadiz_LYX104	0	0.916666667	1	1	1	1	1	0	0.2	0	0	0	0.5	1	0.333333333	0.6	1	1	0	1	0	0	0	0.5	1	0.666666667	1	0
Cadiz_LYX52	0	0.333333333	0	0	0.333333333	0	1	0.047619048	0.266666667	0.138888889	0.041666667	0	0	0	0.333333333	0.3	0.75	0	0.333333333	1	0	0	0	1	1	0.333333333	1	0
Cadiz_LYX97	0	0.75	0	0	0	0	1	0	0.2	0	0	0	0.5	0.142857143	0.333333333	0.7	1	1	1	1	0	0	0	0.5	1	0	1	1
Cadiz_LYX36	0	0.25	0	0	0	0.5	0	0	0.2	0	0	0	1	0	0.333333333	0.4	0	0.5	0	1	0	0	0	0.5	1	0	0	0
Cadiz_LYX64	0	1	0	0	0.333333333	0	1	0	0.1	0	0	0	1	0.142857143	0.666666667	0.5	1	1	0	1	0	0	0	0.5	0	0	1	0
Cadiz_LYX80	1	0.25	0	0	0	0	1	0.142857143	0.533333333	0.25	0.145833333	0	0	0	0.666666667	0.6	0	0.5	1	1	0	0	0	0.5	1	0.666666667	1	1
Cadiz_LYX1	0	1	0	0	0	0.5	1	0	0.2	0	0	0	0	0	0	0.5	1	0	0	1	0	0	0	0	1	0	1	1
Cadiz_LYX88	0	0.75	0	0	0	0	1	0	0.2	0	0	0	0.5	0	0.333333333	0.4	1	1	0.333333333	1	0	0	0	0.5	1	0	1	1
Cadiz_LYX94	0	0.5	0	1	0.333333333	0	0.75	0	0.1	0	0	0	1	0	0.666666667	0.6	1	0.5	0	1	0	0	0	0.5	0	0	0	0
Cadiz_LYX81	0.333333333	0.583333333	0	0	0.666666667	0	0.5	0	0.2	0	0	0.5	0.5	1	0.666666667	0.9	1	1	1	1	0	0	0	0.5	1	0	1	1
Cadiz_LYX72	0	0.916666667	1	1	1	1	1	0	0.2	0	0	0	0	0.714285714	0.333333333	0.5	1	1	0.333333333	1	0	0	0	1	1	0	1	0
