MAG	DSR	ASR	Taurine transport	Taurine to sulfite	Alkanesulfonate transport	Alkanesulfonate to sulfite	sulfate transport	SOX system	nirK / nirS	Methanogenesis I	Methanogenesis II	Methanogenesis III	Methanogenesis IV	Methane oxidation	EMP pathway	serine pathway	EDD pathway	ackA / pta	ACS	acdA / acdB / acdAB	Betaine biosynthesis	Betaine transport	Betaine uptake	grdA	grdD / grdC	grdH / grdI	cysteine degradation 	cysteine transporter
Cadiz_LYX104	0	1	1	1	1	1	1	1	0.5	0	0	0	0	0	0.5	0.5	1	0.5	1	0.5	1	0	1	0	0	0	1	0
Cadiz_LYX52	0	0.5	0	0	0.5	0	1	0	0	0	0.5	0	0	0	0.5	0.5	1	1	1	0.5	0	0.5	1	0	0	0	1	0
Cadiz_LYX97	0	1	0	0	0	0	1	0	0.5	0	0	0	0	0	0.5	0.5	1	0.5	1	0	1	1	1	0	0	0	1	1
Cadiz_LYX36	0	0.5	0	0	0	0.5	0	0	1	0	0	0	0	0	0.5	0.5	0	0.5	1	0	0.5	0	1	0	0	0	0	0
Cadiz_LYX64	0	1	0	0	0.5	0	1	0	1	0	0	0	0	0	0.5	0.5	1	0.5	0	0	1	0	1	0	0	0	1	0
Cadiz_LYX80	1	0.5	0	0	0	0	1	0	0	0	0.5	0.5	0	0	0.5	0.5	0	0.5	1	0.5	0.5	1	1	0	0	0	1	1
Cadiz_LYX1	0	1	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0.5	1	0	1	0	0	0	1	0	0	0	1	1
Cadiz_LYX88	0	1	0	0	0	0	1	0	0.5	0	0	0	0	0	0.5	0.5	1	0.5	1	0	1	0.5	1	0	0	0	1	1
Cadiz_LYX94	0	0.5	0	1	0.5	0	1	0	1	0	0	0	0	0	0.5	0.5	1	0.5	0	0	0.5	0	1	0	0	0	0	0
Cadiz_LYX81	0.5	0.5	0	0	0.5	0	0.5	1	0.5	0	0	0	0	0.5	0.5	1	1	0.5	1	0	1	1	1	0	0	0	1	1
Cadiz_LYX72	0	1	1	1	1	1	1	0.5	0	0	0	0	0	0	0.5	0.5	1	1	1	0	1	0.5	1	0	0	0	1	0
Cadiz_LYX26	0	0.5	0	0	0	0	1	0	0	0.5	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0	0	1	1	1	0	1	1	0
Cadiz_LYX31	0	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0	1	0.5	1	0	1	0	0	0	1	0	0	0	0	0
Cadiz_LYX47	0	1	0	0	0	0	1	0.5	0.5	0	0	0	0.5	0.5	1	0.5	1	0.5	1	0	0	0	1	0	0	0	1	1
Cadiz_LYX43	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0.5	0.5	1	1	1	0.5	1	0	1	0	0	0	1	1
Cadiz_LYX7	1	0.5	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5	1	0	1	0	0	1	1	0	0	0	1	0
Cadiz_LYX42	0	1	1	1	1	1	0.5	0	0	0	0	0	0	0	0.5	0.5	1	0.5	1	0	1	1	1	0	0	0	1	1
Cadiz_LYX74	0	1	0	1	0	0	1	1	0.5	0	0	0	0.5	1	0.5	1	1	0.5	1	0	0	0	1	0	0	0	0	0
Cadiz_LYX86	0	0.5	0	0	0	0	0	0	0	1	1	1	1	0	0.5	0.5	0	0	1	0.5	0	1	1	0	0	0	0	0
Cadiz_LYX46	0	1	0	0	1	1	0.5	0	0.5	0	0	0	0.5	0.5	0.5	1	1	1	1	0	0.5	0	1	0	0	0	1	1
Cadiz_LYX58	0	0.5	0	0	0	0	1	0	0	0	0	0	0	0	0.5	0.5	1	0.5	1	0.5	1	1	1	0	0	0	1	1
Cadiz_LYX62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0	0	1	0	0	0	0	0
Cadiz_LYX49	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0.5	0.5	1	0	1	0	1	1	1	0	0	0	0	0
Cadiz_LYX30	0	0.5	0	0	0	0	1	0	0.5	0	0	0	0	0	0	0.5	1	0	1	0	1	1	0.5	0	0	0	0	0
Cadiz_LYX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0.5	1	0	0	0	1	1	0	0	0	0	0
Cadiz_LYX40	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	1	0	1	0.5	0	1	0.5	0	0	0	1	0
Cadiz_LYX20	0	1	0	0	0	0	0	0	0.5	0	0	0	0	0	0.5	0.5	1	0.5	1	0	0.5	0.5	1	0	0	0	1	1
Cadiz_LYX105	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	1	0.5	0	0	1	0	0	0	0	0
Cadiz_LYX10	1	0	0.5	0	0	0	0	0	0.5	0	0.5	0.5	0	0	0.5	0.5	0	0	1	0.5	0	0	1	0	0	0	0	0
Cadiz_LYX28	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	1	0	0	1	0	0	0	0	0
Cadiz_LYX76	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0.5	1	1	1	0	1	0
Cadiz_LYX79	0	1	1	1	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0.5	0.5	1	1	1	0	1	1	1	0	0	0	1	0
Cadiz_LYX87	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.5	0.5	1	1	0	0	0	1	1	0	0	0	1	0
Cadiz_LYX93	0	1	0	0	0	0	0.5	1	0.5	0	0	0	0	0	0	0.5	1	1	1	0	1	1	1	0	0	0	1	0
Cadiz_LYX68	0.5	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0	1	0	0	0	1	0	0	0	1	0
Cadiz_LYX17	0	0.5	0	0	0	0	0	0	0	0.5	1	0.5	1	0	0.5	0.5	0	0	1	0.5	0	0	1	0	0	0	0	0
Cadiz_LYX6	0	0	0	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0.5	0.5	1	0.5	0	0	1	1	1	1	1	0
Cadiz_LYX22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.5	0	0.5	1	0	0	0	0	1	1	1	1	1	0
Cadiz_LYX39	1	0.5	0	0	0	0	1	1	0.5	0	0.5	0	0.5	0	0.5	0.5	0.5	0.5	1	0	0.5	0	1	0	0	0	0	0
Cadiz_LYX65	0	0.5	0	0	0.5	0	1	0	0	0	0	0	0	0	0.5	0.5	0	1	1	0	0	1	1	0	0	0	0	0
Cadiz_LYX96	1	0	0.5	0	0	0	0.5	0	0	0	0.5	0.5	0	0	0.5	0.5	0	0	1	0.5	0	0	1	0	0	0	0	0
Cadiz_LYX67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1	0	0	0	0	0.5	0	0	0	1	0
Cadiz_LYX33	1	0.5	0.5	0	0	0	1	0	0	0	0.5	0.5	0	0	0.5	0.5	0	0.5	1	0.5	0	0.5	1	0	0	0	1	0
